x,y,z,grid,initHeight,timeValue
0.183338,0.293613,0.0146,res1,height_03,0.05
0.254216,0.264883,0.0146,res1,height_03,0.1
0.295684,0.225253,0.0146,res1,height_03,0.15
0.347754,0.186609,0.0146,res1,height_03,0.2
0.414353,0.229365,0.0146,res1,height_03,0.25
0.484071,0.266361,0.0146,res1,height_03,0.3
0.562015,0.280026,0.0146,res1,height_03,0.35
0.584,0.326253,0.0146,res1,height_03,0.4
0.183059,0.193787,0.0146,res1,height_02,0.05
0.253202,0.174672,0.0146,res1,height_02,0.1
0.293504,0.150897,0.0146,res1,height_02,0.15
0.326093,0.149461,0.0146,res1,height_02,0.2
0.370453,0.200987,0.0146,res1,height_02,0.25
0.414083,0.233938,0.0146,res1,height_02,0.3
0.456542,0.240979,0.0146,res1,height_02,0.35
0.495309,0.229166,0.0146,res1,height_02,0.4
